jd_id,cv_id,match_score
298,0,5.0
298,5,5.0
298,4,5.0
298,6,5.0
298,1,5.0
298,3,5.0
298,10,0.0
298,12,5.0
298,8,5.0
298,11,5.0
298,9,5.0
298,2,5.0
298,13,5.0
298,16,5.0
298,14,5.0
298,15,5.0
298,18,5.0
298,20,5.0
298,17,0.0
298,19,5.0
298,26,5.0
298,27,30.0
298,21,5.0
298,22,0.0
298,23,5.0
298,25,5.0
298,24,5.0
298,28,0.0
298,7,5.0
298,29,5.0
298,31,5.0
298,33,5.0
298,35,0.0
298,34,5.0
298,32,5.0
298,36,5.0
298,37,0.0
298,38,5.0
298,39,5.0
298,30,5.0
298,41,15.0
298,43,20.0
298,40,40.0
298,44,35.0
298,42,40.0
298,45,20.0
298,46,30.0
298,51,30.0
298,48,35.0
298,47,10.0
298,49,45.0
298,50,40.0
298,53,30.0
298,52,20.0
298,56,30.0
298,54,25.0
298,55,40.0
298,57,25.0
298,65,10.0
298,60,30.0
298,62,40.0
298,61,40.0
298,66,5.0
298,58,20.0
298,67,5.0
298,59,20.0
298,69,5.0
298,70,5.0
298,71,5.0
298,63,-1.0
298,64,-1.0
298,74,5.0
298,76,20.0
298,68,5.0
298,75,5.0
298,77,5.0
298,78,5.0
298,79,5.0
298,80,5.0
298,81,5.0
298,82,10.0
298,83,5.0
298,85,5.0
298,84,5.0
298,72,20.0
298,86,5.0
298,73,20.0
298,88,5.0
298,87,5.0
298,90,5.0
298,89,5.0
298,98,5.0
298,99,5.0
298,92,5.0
298,91,5.0
298,93,5.0
298,94,20.0
298,96,5.0
298,95,5.0
298,100,5.0
298,97,20.0
298,101,10.0
298,102,5.0
298,103,5.0
298,105,5.0
298,104,5.0
298,107,5.0
298,106,5.0
298,108,5.0
298,109,5.0
298,110,0.0
298,111,0.0
298,117,0.0
298,115,0.0
298,119,0.0
298,120,0.0
298,121,5.0
298,122,0.0
298,112,5.0
298,113,0.0
298,116,0.0
298,123,5.0
298,118,0.0
298,125,0.0
298,124,0.0
298,127,0.0
298,126,0.0
298,128,15.0
298,129,0.0
298,114,-1.0
298,131,5.0
298,132,0.0
298,130,0.0
298,134,0.0
298,135,0.0
298,136,5.0
298,137,0.0
298,139,5.0
298,140,0.0
298,141,0.0
298,142,0.0
298,138,0.0
298,147,5.0
298,133,5.0
298,149,20.0
298,148,5.0
298,150,65.0
298,144,5.0
298,151,20.0
298,145,20.0
298,146,20.0
298,143,0.0
298,152,5.0
298,154,20.0
298,153,5.0
298,155,10.0
298,156,5.0
298,158,10.0
298,157,20.0
298,159,20.0
298,161,25.0
298,160,5.0
298,162,40.0
298,163,10.0
298,164,5.0
298,165,5.0
298,168,5.0
298,170,20.0
298,169,5.0
298,166,20.0
298,172,5.0
298,171,5.0
298,173,5.0
298,174,5.0
298,175,45.0
298,167,20.0
298,176,20.0
298,177,5.0
298,179,5.0
298,180,20.0
298,185,45.0
298,181,15.0
298,182,5.0
298,184,5.0
298,183,20.0
298,191,20.0
298,190,10.0
298,189,40.0
298,178,-1.0
298,186,20.0
298,187,35.0
298,188,15.0
298,192,30.0
298,197,35.0
298,196,25.0
298,198,20.0
298,193,20.0
298,199,10.0
298,200,20.0
298,195,35.0
298,202,15.0
298,201,45.0
298,194,20.0
298,203,45.0
298,204,20.0
298,205,20.0
298,206,55.0
298,209,20.0
298,207,20.0
298,210,5.0
298,208,20.0
298,213,20.0
298,211,30.0
298,212,15.0
298,214,20.0
298,217,15.0
298,215,20.0
298,216,20.0
298,218,30.0
298,221,10.0
298,219,20.0
298,220,40.0
298,222,45.0
298,223,30.0
298,224,10.0
298,225,20.0
298,226,95.0
298,230,20.0
298,227,20.0
298,229,45.0
298,231,20.0
298,233,20.0
298,234,20.0
298,232,45.0
298,228,5.0
298,235,20.0
298,237,20.0
298,236,40.0
298,245,20.0
298,244,5.0
298,243,85.0
298,246,40.0
298,238,5.0
298,247,40.0
298,239,5.0
298,248,65.0
298,242,20.0
298,241,20.0
298,240,20.0
298,249,30.0
298,250,35.0
298,251,30.0
298,255,30.0
298,253,20.0
298,252,40.0
298,254,45.0
298,256,65.0
298,258,35.0
298,260,20.0
298,262,20.0
298,257,30.0
298,259,20.0
298,261,20.0
298,263,20.0
298,264,20.0
298,268,20.0
298,265,30.0
298,267,20.0
298,266,30.0
298,270,20.0
298,269,20.0
298,272,20.0
298,271,20.0
298,274,5.0
298,276,10.0
298,275,5.0
298,277,5.0
298,273,5.0
298,278,5.0
298,281,5.0
298,282,10.0
298,283,5.0
298,279,5.0
298,285,5.0
298,280,5.0
298,284,5.0
298,286,10.0
298,290,5.0
298,288,5.0
298,291,5.0
298,287,5.0
298,292,5.0
298,289,10.0
298,293,10.0
298,294,5.0
298,296,5.0
298,295,5.0
298,297,5.0
298,300,5.0
298,298,5.0
298,299,5.0
298,302,5.0
298,301,5.0
298,303,5.0
298,304,5.0
298,305,5.0
298,306,5.0
298,308,5.0
298,307,5.0
298,309,5.0
298,310,5.0
298,311,5.0
298,312,20.0
298,317,10.0
298,313,10.0
298,315,5.0
298,318,5.0
298,314,10.0
298,319,20.0
298,320,5.0
298,321,20.0
298,316,10.0
298,322,40.0
298,323,5.0
298,326,5.0
298,324,5.0
298,327,5.0
298,325,5.0
298,328,5.0
298,330,5.0
298,329,10.0
298,331,5.0
298,332,5.0
298,335,5.0
298,333,5.0
298,336,20.0
298,334,5.0
298,337,5.0
298,338,5.0
298,340,20.0
298,339,5.0
298,341,35.0
298,343,5.0
298,342,55.0
298,344,5.0
298,347,5.0
298,345,5.0
298,346,5.0
298,349,5.0
298,348,0.0
298,350,0.0
298,352,5.0
298,351,5.0
298,353,10.0
298,356,55.0
298,355,5.0
298,354,0.0
298,358,85.0
298,359,60.0
298,357,65.0
298,360,85.0
298,361,40.0
298,363,45.0
298,362,65.0
298,364,65.0
298,367,75.0
298,365,85.0
298,366,55.0
298,368,85.0
