jd_id,cv_id,match_score
153,5,10.0
153,3,5.0
153,4,5.0
153,9,5.0
153,8,5.0
153,10,5.0
153,11,15.0
153,12,5.0
153,1,8.0
153,0,5.0
153,2,15.0
153,6,5.0
153,13,5.0
153,15,5.0
153,16,5.0
153,7,5.0
153,14,5.0
153,17,5.0
153,18,5.0
153,19,5.0
153,20,5.0
153,21,5.0
153,25,5.0
153,24,5.0
153,22,5.0
153,26,20.0
153,27,20.0
153,23,5.0
153,29,5.0
153,31,10.0
153,34,20.0
153,33,5.0
153,30,5.0
153,36,5.0
153,35,5.0
153,32,5.0
153,38,5.0
153,39,5.0
153,37,5.0
153,40,20.0
153,41,20.0
153,42,10.0
153,43,20.0
153,44,20.0
153,28,5.0
153,45,10.0
153,49,20.0
153,50,20.0
153,47,20.0
153,48,20.0
153,46,10.0
153,51,5.0
153,52,20.0
153,53,20.0
153,54,20.0
153,55,20.0
153,57,15.0
153,56,30.0
153,58,10.0
153,59,20.0
153,60,35.0
153,62,10.0
153,61,20.0
153,63,20.0
153,64,20.0
153,66,5.0
153,68,5.0
153,67,5.0
153,69,20.0
153,73,35.0
153,70,5.0
153,65,5.0
153,71,5.0
153,72,20.0
153,74,5.0
153,76,5.0
153,75,5.0
153,78,5.0
153,79,5.0
153,77,5.0
153,87,5.0
153,81,5.0
153,80,5.0
153,82,8.0
153,83,5.0
153,90,30.0
153,89,5.0
153,91,5.0
153,85,5.0
153,84,8.0
153,92,5.0
153,86,5.0
153,93,5.0
153,94,20.0
153,97,55.0
153,95,5.0
153,96,5.0
153,98,5.0
153,99,10.0
153,100,5.0
153,101,10.0
153,88,5.0
153,102,5.0
153,103,5.0
153,105,5.0
153,104,5.0
153,106,5.0
153,108,5.0
153,107,5.0
153,109,0.0
153,110,5.0
153,111,5.0
153,113,0.0
153,116,5.0
153,117,0.0
153,118,0.0
153,115,0.0
153,114,0.0
153,119,5.0
153,120,5.0
153,112,5.0
153,121,5.0
153,122,0.0
153,123,5.0
153,124,5.0
153,125,0.0
153,126,5.0
153,128,20.0
153,127,5.0
153,129,5.0
153,132,0.0
153,130,0.0
153,131,5.0
153,133,5.0
153,135,0.0
153,136,5.0
153,134,5.0
153,137,5.0
153,140,20.0
153,138,5.0
153,139,5.0
153,142,0.0
153,141,2.0
153,143,5.0
153,144,5.0
153,145,20.0
153,147,5.0
153,148,10.0
153,146,35.0
153,149,10.0
153,151,20.0
153,150,45.0
153,154,20.0
153,152,5.0
153,153,5.0
153,161,35.0
153,159,-1.0
153,155,20.0
153,158,5.0
153,157,20.0
153,165,20.0
153,164,5.0
153,156,28.0
153,167,20.0
153,168,5.0
153,160,5.0
153,169,5.0
153,163,5.0
153,170,30.0
153,171,5.0
153,172,5.0
153,173,5.0
153,162,35.0
153,174,5.0
153,175,55.0
153,176,20.0
153,177,20.0
153,178,5.0
153,166,30.0
153,180,20.0
153,183,35.0
153,184,6.0
153,182,5.0
153,185,85.0
153,187,45.0
153,188,65.0
153,189,35.0
153,191,55.0
153,179,5.0
153,193,55.0
153,194,85.0
153,195,85.0
153,192,75.0
153,181,20.0
153,190,40.0
153,186,45.0
153,196,55.0
153,197,85.0
153,199,20.0
153,198,65.0
153,200,85.0
153,202,75.0
153,201,35.0
153,203,45.0
153,204,65.0
153,205,20.0
153,207,40.0
153,206,45.0
153,208,30.0
153,209,10.0
153,210,20.0
153,211,45.0
