jd_id,cv_id,match_score
408,4,5.0
408,5,5.0
408,7,5.0
408,6,5.0
408,0,5.0
408,2,10.0
408,3,5.0
408,1,5.0
408,8,5.0
408,9,5.0
408,16,5.0
408,17,5.0
408,18,5.0
408,19,5.0
408,10,5.0
408,11,15.0
408,13,5.0
408,14,5.0
408,12,5.0
408,23,5.0
408,24,5.0
408,25,5.0
408,26,20.0
408,27,10.0
408,28,5.0
408,15,5.0
408,30,5.0
408,29,5.0
408,22,5.0
408,31,5.0
408,32,5.0
408,20,-1.0
408,21,-1.0
408,37,5.0
408,36,5.0
408,38,5.0
408,41,25.0
408,42,5.0
408,39,5.0
408,43,20.0
408,40,20.0
408,35,5.0
408,33,5.0
408,34,15.0
408,44,20.0
408,45,20.0
408,46,5.0
408,48,20.0
408,49,10.0
408,47,15.0
408,50,10.0
408,51,10.0
408,53,15.0
408,52,20.0
408,54,10.0
408,55,20.0
408,57,20.0
408,56,15.0
408,58,15.0
408,59,10.0
408,60,20.0
408,61,20.0
408,62,15.0
408,63,20.0
408,64,20.0
408,65,10.0
408,66,5.0
408,67,5.0
408,68,5.0
408,69,35.0
408,70,5.0
408,72,20.0
408,73,20.0
408,71,5.0
408,75,15.0
408,74,5.0
408,76,55.0
408,77,5.0
408,78,5.0
408,79,5.0
408,80,5.0
408,82,5.0
408,83,20.0
408,84,10.0
408,85,5.0
408,87,5.0
408,86,5.0
408,89,5.0
408,90,30.0
408,91,5.0
408,92,5.0
408,93,5.0
408,94,45.0
408,81,5.0
408,95,5.0
408,97,20.0
408,96,5.0
408,99,10.0
408,98,20.0
408,100,10.0
408,88,5.0
408,103,5.0
408,107,5.0
408,108,5.0
408,109,5.0
408,110,5.0
408,111,5.0
408,101,20.0
408,112,5.0
408,102,5.0
408,113,0.0
408,105,5.0
408,106,5.0
408,104,5.0
408,116,5.0
408,115,0.0
408,117,5.0
408,121,5.0
408,124,0.0
408,123,10.0
408,122,5.0
408,119,5.0
408,120,0.0
408,129,5.0
408,125,0.0
408,114,0.0
408,130,5.0
408,126,5.0
408,127,5.0
408,128,15.0
408,131,5.0
408,118,0.0
408,132,0.0
408,133,5.0
408,134,5.0
408,135,5.0
408,137,5.0
408,138,5.0
408,136,5.0
408,139,5.0
408,141,2.0
408,140,5.0
408,142,5.0
408,143,0.0
408,144,5.0
408,145,35.0
408,146,35.0
408,147,5.0
408,149,20.0
408,156,20.0
408,154,45.0
408,155,45.0
408,148,5.0
408,153,5.0
408,157,35.0
408,151,20.0
408,158,10.0
408,152,5.0
408,150,35.0
408,159,20.0
408,160,5.0
408,161,45.0
408,162,20.0
