jd_id,cv_id,match_score
16,1,85.0
16,3,85.0
16,7,95.0
16,0,95.0
16,2,95.0
16,4,95.0
16,6,95.0
16,8,85.0
16,10,40.0
16,9,95.0
16,11,92.0
16,5,85.0
16,12,85.0
16,16,78.0
16,13,60.0
16,15,95.0
16,18,85.0
16,14,95.0
16,20,95.0
16,17,95.0
16,22,92.0
16,24,95.0
16,23,95.0
16,21,95.0
16,25,85.0
16,27,95.0
16,28,92.0
16,32,95.0
16,30,95.0
16,19,85.0
16,26,95.0
16,31,95.0
16,29,95.0
16,33,95.0
16,34,85.0
16,35,95.0
16,36,95.0
16,38,95.0
16,37,95.0
16,41,5.0
16,42,5.0
16,44,5.0
16,46,5.0
16,40,10.0
16,45,5.0
16,39,85.0
16,47,5.0
16,48,5.0
16,43,5.0
16,49,5.0
16,52,5.0
16,53,30.0
16,50,5.0
16,54,20.0
16,55,15.0
16,56,20.0
16,57,65.0
16,51,10.0
16,58,65.0
16,59,65.0
16,60,20.0
16,61,15.0
16,63,40.0
16,62,45.0
16,64,30.0
16,65,35.0
16,67,20.0
16,66,15.0
16,69,5.0
16,70,35.0
16,71,5.0
16,72,45.0
16,68,20.0
16,73,65.0
16,74,20.0
16,78,10.0
16,76,30.0
16,83,20.0
16,77,20.0
16,81,5.0
16,82,15.0
16,84,45.0
16,79,5.0
16,85,30.0
16,80,20.0
16,86,15.0
16,89,5.0
16,87,10.0
16,92,20.0
16,93,20.0
16,75,20.0
16,90,55.0
16,91,5.0
16,95,20.0
16,96,5.0
16,94,30.0
16,88,35.0
16,97,20.0
16,98,55.0
16,100,5.0
16,99,10.0
16,101,20.0
16,102,10.0
16,103,10.0
16,105,5.0
16,106,5.0
16,108,5.0
16,110,5.0
16,104,20.0
16,112,25.0
16,115,10.0
16,114,5.0
16,109,5.0
16,107,10.0
16,111,0.0
16,113,5.0
16,116,5.0
16,118,5.0
16,121,5.0
16,122,5.0
16,120,0.0
16,123,20.0
16,117,5.0
16,125,0.0
16,119,5.0
16,126,5.0
16,127,5.0
16,129,5.0
16,124,5.0
16,130,0.0
16,131,10.0
16,133,5.0
16,128,75.0
16,139,5.0
16,140,5.0
16,132,0.0
16,141,5.0
16,142,5.0
16,135,5.0
16,134,0.0
16,137,5.0
16,136,10.0
16,143,0.0
16,144,45.0
16,145,20.0
16,138,5.0
16,146,85.0
16,147,5.0
16,148,5.0
16,149,20.0
16,150,20.0
16,151,55.0
16,153,20.0
16,152,85.0
16,154,10.0
16,155,5.0
16,157,20.0
16,158,25.0
16,156,45.0
16,160,15.0
16,159,45.0
16,162,15.0
16,161,20.0
16,163,15.0
16,164,15.0
16,165,35.0
16,168,20.0
16,169,65.0
